Month,State mean,Day mean,Year mean,Cell Phone mean,College Housing (Cell) mean,College Housing (Landline) mean,General Health mean,Physical Health mean,Mental Health mean,Personal Doctor mean,Health Plan mean,Sleep Time mean,Exercise mean,Diabetes mean,Diabetes Age mean,Binge Drinks mean,Sex mean,Children mean,100 Cigarettes mean,Days Smoking mean,Income Lower mean,Income Upper mean
1.0,,1.5876951331496787,2020.0385674931129,,,,2.704315886134068,5.5353535353535355,4.3856749311294765,,,6.975206611570248,,,6.077134986225896,-0.17079889807162535,,0.46831955922865015,,,32910.767676767675,23653.729109274565
2.0,,0.5548780487804879,2020.0,,,,2.6910569105691056,5.384146341463414,3.7296747967479673,,,6.989837398373984,,,7.65650406504065,0.014227642276422764,,0.28252032520325204,,,34959.20121951219,26492.90243902439
3.0,,0.8576329331046312,2020.0,,,,2.542024013722127,4.152658662092624,3.632933104631218,,,7.078902229845626,,,8.480274442538594,0.07375643224699828,,0.38250428816466553,,,30454.33962264151,23137.93653516295
4.0,,0.9253112033195021,2020.0,,,,2.513485477178423,3.7147302904564317,4.0850622406639,,,7.1504149377593365,,,5.871369294605809,0.12448132780082988,,0.4139004149377593,,,31981.156639004148,24527.008298755187
5.0,,0.6399026763990268,2020.0,,,,2.510948905109489,3.564476885644769,4.688564476885645,,,6.990267639902676,,,7.372262773722627,0.2749391727493917,,0.36739659367396593,,,31484.014598540147,24074.42579075426
6.0,,0.5631067961165048,2020.0,,,,2.5898058252427183,3.720873786407767,4.169902912621359,,,7.109223300970874,,,6.745145631067961,0.014563106796116505,,0.5121359223300971,,,31541.094660194176,23397.058252427185
7.0,,1.0516528925619835,2020.0,,,,2.6508264462809916,4.650826446280992,4.547520661157025,,,7.035123966942149,,,5.68595041322314,0.2975206611570248,,0.4896694214876033,,,31311.81611570248,24472.14049586777
8.0,,1.155813953488372,2020.0,,,,2.6209302325581394,4.965116279069767,4.765116279069767,,,7.186046511627907,,,6.730232558139535,-0.013953488372093023,,0.3813953488372093,,,32674.246511627905,22871.093023255813
9.0,,1.0626304801670146,2020.0,,,,2.5970772442588728,4.549060542797495,4.446764091858038,,,7.025052192066806,,,8.277661795407099,-0.09394572025052192,,0.3277661795407098,,,34415.32567849687,25928.01878914405
10.0,,0.4386792452830189,2020.0,,,,2.6533018867924527,4.55188679245283,4.14622641509434,,,7.002358490566038,,,6.952830188679245,-0.24528301886792453,,0.4481132075471698,,,34056.45754716981,25317.396226415094
11.0,,0.9277605779153767,2020.0,,,,2.5562435500515996,4.657378740970072,4.247678018575852,,,7.089783281733746,,,7.372549019607843,-0.06398348813209494,,0.39525283797729616,,,31284.642930856553,22800.857585139318
12.0,,0.8121739130434783,2020.0,,,,2.5852173913043477,4.487826086956522,4.4,,,7.06,,,7.3417391304347825,0.11478260869565217,,0.3565217391304348,,,31160.68,23812.043478260868
